date,name
01/01/2011,"Verified, New Year's Day. DBM. 20/06/2025"
23/04/2011,"Verified, National Sovereignty and Children's Day. DBM. 20/06/2025"
01/05/2011,"Verified, Labor and Solidarity Day. DBM. 20/06/2025"
19/05/2011,"Verified, Commemoration of Atatürk, Youth and Sports Day. DBM. 20/06/2025"
30/08/2011,"Verified, Victory Day. DBM. 20/06/2025"
30/08/2011,"Verified, Ramadan Feast. DBM. 20/06/2025"
31/08/2011,"Verified, Ramadan Feast Holiday. DBM. 20/06/2025"
01/09/2011,"Verified, Ramadan Feast Holiday. DBM. 20/06/2025"
29/10/2011,"Verified, Republic Day. DBM. 20/06/2025"
06/11/2011,"Verified, Eid al-Adha. DBM. 20/06/2025"
07/11/2011,"Verified, Sacrifice Feast Holiday. DBM. 20/06/2025"
08/11/2011,"Verified, Sacrifice Feast Holiday. DBM. 20/06/2025"
09/11/2011,"Verified, Sacrifice Feast Holiday. DBM. 20/06/2025"
01/01/2012,"Verified, New Year's Day. DBM. 20/06/2025"
23/04/2012,"Verified, National Sovereignty and Children's Day. DBM. 20/06/2025"
01/05/2012,"Verified, Labor and Solidarity Day. DBM. 20/06/2025"
19/05/2012,"Verified, Commemoration of Atatürk, Youth and Sports Day. DBM. 20/06/2025"
19/08/2012,"Verified, Ramadan Feast. DBM. 20/06/2025"
20/08/2012,"Verified, Ramadan Feast Holiday. DBM. 20/06/2025"
21/08/2012,"Verified, Ramadan Feast Holiday. DBM. 20/06/2025"
30/08/2012,"Verified, Victory Day. DBM. 20/06/2025"
25/10/2012,"Verified, Eid al-Adha. DBM. 20/06/2025"
26/10/2012,"Verified, Sacrifice Feast Holiday. DBM. 20/06/2025"
27/10/2012,"Verified, Sacrifice Feast Holiday. DBM. 20/06/2025"
28/10/2012,"Verified, Sacrifice Feast Holiday. DBM. 20/06/2025"
29/10/2012,"Verified, Republic Day. DBM. 20/06/2025"
01/01/2013,"Verified, New Year's Day. DBM. 20/06/2025"
23/04/2013,"Verified, National Sovereignty and Children's Day. DBM. 20/06/2025"
01/05/2013,"Verified, Labor and Solidarity Day. DBM. 20/06/2025"
19/05/2013,"Verified, Commemoration of Atatürk, Youth and Sports Day. DBM. 20/06/2025"
08/08/2013,"Verified, Ramadan Feast. DBM. 20/06/2025"
09/08/2013,"Verified, Ramadan Feast Holiday. DBM. 20/06/2025"
10/08/2013,"Verified, Ramadan Feast Holiday. DBM. 20/06/2025"
30/08/2013,"Verified, Victory Day. DBM. 20/06/2025"
15/10/2013,"Verified, Eid al-Adha. DBM. 20/06/2025"
16/10/2013,"Verified, Sacrifice Feast Holiday. DBM. 20/06/2025"
17/10/2013,"Verified, Sacrifice Feast Holiday. DBM. 20/06/2025"
18/10/2013,"Verified, Sacrifice Feast Holiday. DBM. 20/06/2025"
29/10/2013,"Verified, Republic Day. DBM. 20/06/2025"
01/01/2014,"Verified, New Year's Day. DBM. 20/06/2025"
23/04/2014,"Verified, National Sovereignty and Children's Day. DBM. 20/06/2025"
01/05/2014,"Verified, Labor and Solidarity Day. DBM. 20/06/2025"
19/05/2014,"Verified, Commemoration of Atatürk, Youth and Sports Day. DBM. 20/06/2025"
28/07/2014,"Verified, Ramadan Feast. DBM. 20/06/2025"
